Application,Process,SubProcess,BusRole,Business Role Description,Standard Activity,Type,System,Platform,Entitlement Description,Entitlement Value,Authorization Object,Field-Level Security Name,Field-Level Security Value,4th Level Security Name,4th Level Security Value,Additional Comments
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,06-OHIO / KY,CIN1S1,DEPTACCESS,HHSSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:06-OHIO / KY&AMM&BASIS20&HHSSPEC&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,06-OHIO / KY,CIN1S1,DEPTACCESS,OESAMP,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:06-OHIO / KY&AMM&BASIS20&OESAMP&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,06-OHIO / KY,CIN1S1,DEPTACCESS,OEUSER,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:06-OHIO / KY&AMM&BASIS20&OEUSER&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,06-OHIO / KY,CIN1S1,DEPTACCESS,OMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:06-OHIO / KY&AMM&BASIS20&OMSPEC&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,06-OHIO / KY,CIN1S1,DEPTACCESS,SMINQ,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:06-OHIO / KY&AMM&BASIS20&SMINQ&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,06-OHIO / KY,CIN1S1,DEPTACCESS,XXUSER,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:06-OHIO / KY&AMM&BASIS20&XXUSER&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,10-MIDAMERICA,LEN1S1,DEPTACCESS,AMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S1:10-MIDAMERICA&AMM&BASIS20&AMSPEC&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,10-MIDAMERICA,LEN1S1,DEPTACCESS,HHNSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S1:10-MIDAMERICA&AMM&BASIS20&HHNSPEC&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,10-MIDAMERICA,LEN1S1,DEPTACCESS,HHSSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S1:10-MIDAMERICA&AMM&BASIS20&HHSSPEC&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,10-MIDAMERICA,LEN1S1,DEPTACCESS,OESAMP,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S1:10-MIDAMERICA&AMM&BASIS20&OESAMP&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,10-MIDAMERICA,LEN1S1,DEPTACCESS,OEUSER,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S1:10-MIDAMERICA&AMM&BASIS20&OEUSER&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,10-MIDAMERICA,LEN1S1,DEPTACCESS,OMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S1:10-MIDAMERICA&AMM&BASIS20&OMSPEC&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,10-MIDAMERICA,LEN1S1,DEPTACCESS,SMINQ,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S1:10-MIDAMERICA&AMM&BASIS20&SMINQ&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,10-MIDAMERICA,LEN1S1,DEPTACCESS,XXUSER,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S1:10-MIDAMERICA&AMM&BASIS20&XXUSER&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,11-N. OHIO,CIN1S1,DEPTACCESS,AMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:11-N. OHIO&AMM&BASIS20&AMSPEC&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,11-N. OHIO,CIN1S1,DEPTACCESS,HHNSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:11-N. OHIO&AMM&BASIS20&HHNSPEC&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,11-N. OHIO,CIN1S1,DEPTACCESS,HHSSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:11-N. OHIO&AMM&BASIS20&HHSSPEC&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,11-N. OHIO,CIN1S1,DEPTACCESS,OESAMP,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:11-N. OHIO&AMM&BASIS20&OESAMP&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,11-N. OHIO,CIN1S1,DEPTACCESS,OEUSER,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:11-N. OHIO&AMM&BASIS20&OEUSER&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,11-N. OHIO,CIN1S1,DEPTACCESS,OMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:11-N. OHIO&AMM&BASIS20&OMSPEC&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,11-N. OHIO,CIN1S1,DEPTACCESS,SMINQ,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:11-N. OHIO&AMM&BASIS20&SMINQ&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,11-N. OHIO,CIN1S1,DEPTACCESS,XXUSER,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:11-N. OHIO&AMM&BASIS20&XXUSER&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,14-UP.NY/E.PA,CIN1S1,DEPTACCESS,AMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:14-UP.NY/E.PA&AMM&BASIS20&AMSPEC&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,14-UP.NY/E.PA,CIN1S1,DEPTACCESS,HHNSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:14-UP.NY/E.PA&AMM&BASIS20&HHNSPEC&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,14-UP.NY/E.PA,CIN1S1,DEPTACCESS,HHSSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:14-UP.NY/E.PA&AMM&BASIS20&HHSSPEC&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,14-UP.NY/E.PA,CIN1S1,DEPTACCESS,OESAMP,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:14-UP.NY/E.PA&AMM&BASIS20&OESAMP&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,14-UP.NY/E.PA,CIN1S1,DEPTACCESS,OEUSER,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:14-UP.NY/E.PA&AMM&BASIS20&OEUSER&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,14-UP.NY/E.PA,CIN1S1,DEPTACCESS,OMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:14-UP.NY/E.PA&AMM&BASIS20&OMSPEC&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,14-UP.NY/E.PA,CIN1S1,DEPTACCESS,SMINQ,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:14-UP.NY/E.PA&AMM&BASIS20&SMINQ&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,14-UP.NY/E.PA,CIN1S1,DEPTACCESS,XXUSER,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:14-UP.NY/E.PA&AMM&BASIS20&XXUSER&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,15-NEW YORK,MANYC1A4,DEPTACCESS,AMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_MANYC1A4:15-NEW YORK&AMM&BASIS20&AMSPEC&*ALL
