"RoleName","StandardActivity","RoleType","Application","System","Platform","EntitlementName","EntitlementValue","AuthObjValue","FieldSecName","FieldSecValue","Commentary","EditStatus",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","10-MIDAMERICA","LEN1S1","DEPTACCESS","XXUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","11-N. OHIO","CIN1S1","DEPTACCESS","AMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","11-N. OHIO","CIN1S1","DEPTACCESS","HHNSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","11-N. OHIO","CIN1S1","DEPTACCESS","HHSSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","11-N. OHIO","CIN1S1","DEPTACCESS","OESAMP","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","11-N. OHIO","CIN1S1","DEPTACCESS","OEUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","11-N. OHIO","CIN1S1","DEPTACCESS","OMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","11-N. OHIO","CIN1S1","DEPTACCESS","SMINQ","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","11-N. OHIO","CIN1S1","DEPTACCESS","XXUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","14-UP.NY/E.PA","CIN1S1","DEPTACCESS","AMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","14-UP.NY/E.PA","CIN1S1","DEPTACCESS","HHNSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","14-UP.NY/E.PA","CIN1S1","DEPTACCESS","HHSSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","14-UP.NY/E.PA","CIN1S1","DEPTACCESS","OESAMP","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","14-UP.NY/E.PA","CIN1S1","DEPTACCESS","OEUSER","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","14-UP.NY/E.PA","CIN1S1","DEPTACCESS","OMSPEC","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","14-UP.NY/E.PA","CIN1S1","DEPTACCESS","SMINQ","DEPT - AMM","MENU","BASIS20","","",
"FNC_OTC_Pricing_Performer_NA","TBD","Job Function","BASIS","14-UP.NY/E.PA","CIN1S1","DEPTACCESS","XXUSER","DEPT - AMM","MENU","BASIS20","","",
