Application,Process,SubProcess,BusRole,Business Role Description,Standard Activity,Type,System,Platform,Entitlement Description,Entitlement Value,Authorization Object,Field-Level Security Name,Field-Level Security Value,4th Level Security Name,4th Level Security Value,Additional Comments,
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,01-WARE SALES,GAFE1A4,DEPTACCESS,XXUSER,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_GAFE1A4:01-WARE SALES&AMM&BASIS20&XXUSER&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,04-CENTRALSTA,LEN1S2,DEPTACCESS,AMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S2:04-CENTRALSTA&AMM&BASIS20&AMSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,04-CENTRALSTA,LEN1S2,DEPTACCESS,HHNSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S2:04-CENTRALSTA&AMM&BASIS20&HHNSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,04-CENTRALSTA,LEN1S2,DEPTACCESS,HHSSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S2:04-CENTRALSTA&AMM&BASIS20&HHSSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,04-CENTRALSTA,LEN1S2,DEPTACCESS,OESAMP,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S2:04-CENTRALSTA&AMM&BASIS20&OESAMP&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,04-CENTRALSTA,LEN1S2,DEPTACCESS,OEUSER,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S2:04-CENTRALSTA&AMM&BASIS20&OEUSER&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,04-CENTRALSTA,LEN1S2,DEPTACCESS,OMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S2:04-CENTRALSTA&AMM&BASIS20&OMSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,04-CENTRALSTA,LEN1S2,DEPTACCESS,SMINQ,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S2:04-CENTRALSTA&AMM&BASIS20&SMINQ&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,04-CENTRALSTA,LEN1S2,DEPTACCESS,XXUSER,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S2:04-CENTRALSTA&AMM&BASIS20&XXUSER&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,06-OHIO / KY,CIN1S1,DEPTACCESS,AMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:06-OHIO / KY&AMM&BASIS20&AMSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,06-OHIO / KY,CIN1S1,DEPTACCESS,HHNSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:06-OHIO / KY&AMM&BASIS20&HHNSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,06-OHIO / KY,CIN1S1,DEPTACCESS,HHSSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:06-OHIO / KY&AMM&BASIS20&HHSSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,06-OHIO / KY,CIN1S1,DEPTACCESS,OESAMP,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:06-OHIO / KY&AMM&BASIS20&OESAMP&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,06-OHIO / KY,CIN1S1,DEPTACCESS,OEUSER,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:06-OHIO / KY&AMM&BASIS20&OEUSER&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,06-OHIO / KY,CIN1S1,DEPTACCESS,OMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:06-OHIO / KY&AMM&BASIS20&OMSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,06-OHIO / KY,CIN1S1,DEPTACCESS,SMINQ,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:06-OHIO / KY&AMM&BASIS20&SMINQ&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,06-OHIO / KY,CIN1S1,DEPTACCESS,XXUSER,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_CIN1S1:06-OHIO / KY&AMM&BASIS20&XXUSER&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,10-MIDAMERICA,LEN1S1,DEPTACCESS,AMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S1:10-MIDAMERICA&AMM&BASIS20&AMSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,10-MIDAMERICA,LEN1S1,DEPTACCESS,HHNSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S1:10-MIDAMERICA&AMM&BASIS20&HHNSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,10-MIDAMERICA,LEN1S1,DEPTACCESS,HHSSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S1:10-MIDAMERICA&AMM&BASIS20&HHSSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,10-MIDAMERICA,LEN1S1,DEPTACCESS,OESAMP,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_LEN1S1:10-MIDAMERICA&AMM&BASIS20&OESAMP&*ALL
